instance,algorithm,iteration,best_cost
tai25a,TS-Reactive,200,1192510
tai25a,TS-Reactive,300,1192510
tai25a,TS-Reactive,400,1189570
tai25a,TS-Reactive,500,1183984
tai25a,TS-Reactive,600,1183984
tai25a,TS-Reactive,700,1183984
tai25a,TS-Reactive,800,1183984
tai25a,TS-Reactive,900,1183984
tai25a,TS-Reactive,1000,1183984
tai25a,TS-Reactive,1100,1183984
tai25a,TS-Reactive,1200,1183984
tai25a,TS-Reactive,1300,1183984
tai25a,TS-Reactive,1400,1183984
tai25a,TS-Reactive,1500,1183984
tai25a,TS-Reactive,1600,1183984
tai25a,TS-Reactive,1700,1183984
tai25a,TS-Reactive,1800,1183984
tai25a,TS-Reactive,1900,1183984
tai25a,TS-Reactive,2000,1183984
tai25a,TS-Reactive,2100,1183984
tai25a,TS-Reactive,2200,1183984
tai25a,TS-Reactive,2300,1183984
tai25a,TS-Reactive,2400,1183984
tai25a,TS-Reactive,2500,1183984
tai25a,TS-Reactive,2600,1183984
tai25a,TS-Reactive,2700,1183984
tai25a,TS-Reactive,2800,1183984
tai25a,TS-Reactive,2900,1183984
tai25a,TS-Reactive,3000,1183984
tai25a,TS-Reactive,3100,1183984
tai25a,TS-Reactive,3200,1183984
tai25a,TS-Reactive,3300,1183984
tai25a,TS-Reactive,3400,1183984
tai25a,TS-Reactive,3500,1183984
tai25a,TS-Reactive,3600,1183984
tai25a,TS-Reactive,3700,1183984
nug25,TS-Original,0,5068
nug25,TS-Original,100,3754
nug25,TS-Original,200,3754
nug25,TS-Original,300,3754
nug25,TS-Original,400,3744
nug25,TS-Original,500,3744
nug25,TS-Original,600,3744
nug25,TS-Original,700,3744
nug25,TS-Original,800,3744
nug25,TS-Original,900,3744
nug25,TS-Original,1000,3744
nug25,TS-Original,1100,3744
nug25,TS-Original,1200,3744
nug25,TS-Original,1300,3744
nug25,TS-Original,1400,3744
nug25,TS-Original,1500,3744
nug25,TS-Original,1600,3744
nug25,TS-Original,1700,3744
nug25,TS-Original,1800,3744
nug25,TS-Original,1900,3744
nug25,TS-Original,2000,3744
nug25,TS-Original,2100,3744
nug25,TS-Original,2200,3744
nug25,TS-Original,2300,3744
nug25,TS-Original,2400,3744
nug25,TS-Original,2500,3744
nug25,TS-Original,2600,3744
nug25,TS-Original,2700,3744
nug25,TS-Original,2800,3744
nug25,TS-Original,2900,3744
nug25,TS-Original,3000,3744
nug25,TS-Original,3100,3744
nug25,TS-Original,3200,3744
nug25,TS-Original,3300,3744
nug25,TS-Original,3400,3744
nug25,TS-Original,3500,3744
nug25,TS-Original,3600,3744
nug25,TS-Original,3700,3744
nug25,TS-Reactive,0,5068
nug25,TS-Reactive,100,3744
nug25,TS-Reactive,200,3744
nug25,TS-Reactive,300,3744
nug25,TS-Reactive,400,3744
nug25,TS-Reactive,500,3744
nug25,TS-Reactive,600,3744
nug25,TS-Reactive,700,3744
nug25,TS-Reactive,800,3744
nug25,TS-Reactive,900,3744
nug25,TS-Reactive,1000,3744
nug25,TS-Reactive,1100,3744
nug25,TS-Reactive,1200,3744
nug25,TS-Reactive,1300,3744
nug25,TS-Reactive,1400,3744
nug25,TS-Reactive,1500,3744
nug25,TS-Reactive,1600,3744
nug25,TS-Reactive,1700,3744
nug25,TS-Reactive,1800,3744
nug25,TS-Reactive,1900,3744
nug25,TS-Reactive,2000,3744
nug25,TS-Reactive,2100,3744
nug25,TS-Reactive,2200,3744
nug25,TS-Reactive,2300,3744
nug25,TS-Reactive,2400,3744
nug25,TS-Reactive,2500,3744
nug25,TS-Reactive,2600,3744
nug25,TS-Reactive,2700,3744
nug25,TS-Reactive,2800,3744
nug25,TS-Reactive,2900,3744
