instance,algorithm,iteration,best_cost
nug20,TS-Original,500,2596
nug20,TS-Original,600,2596
nug20,TS-Original,700,2596
nug20,TS-Original,800,2596
nug20,TS-Original,900,2596
nug20,TS-Original,1000,2596
nug20,TS-Original,1100,2596
nug20,TS-Original,1200,2596
nug20,TS-Original,1300,2596
nug20,TS-Original,1400,2596
nug20,TS-Original,1500,2596
nug20,TS-Original,1600,2596
nug20,TS-Original,1700,2596
nug20,TS-Original,1800,2596
nug20,TS-Original,1900,2596
nug20,TS-Original,2000,2596
nug20,TS-Original,2100,2596
nug20,TS-Original,2200,2596
nug20,TS-Original,2300,2596
nug20,TS-Original,2400,2596
nug20,TS-Original,2500,2596
nug20,TS-Original,2600,2596
nug20,TS-Original,2700,2596
nug20,TS-Original,2800,2596
nug20,TS-Original,2900,2596
nug20,TS-Original,3000,2596
nug20,TS-Reactive,0,3302
nug20,TS-Reactive,100,2612
nug20,TS-Reactive,200,2574
nug20,TS-Reactive,300,2574
nug20,TS-Reactive,400,2574
nug20,TS-Reactive,500,2574
nug20,TS-Reactive,600,2574
nug20,TS-Reactive,700,2574
nug20,TS-Reactive,800,2574
nug20,TS-Reactive,900,2574
nug20,TS-Reactive,1000,2574
nug20,TS-Reactive,1100,2574
nug20,TS-Reactive,1200,2574
nug20,TS-Reactive,1300,2570
nug20,TS-Reactive,1400,2570
nug20,TS-Reactive,1500,2570
nug20,TS-Reactive,1600,2570
nug20,TS-Reactive,1700,2570
nug20,TS-Reactive,1800,2570
nug20,TS-Reactive,1900,2570
nug20,TS-Reactive,2000,2570
nug20,TS-Reactive,2100,2570
nug20,TS-Reactive,2200,2570
nug20,TS-Reactive,2300,2570
nug20,TS-Reactive,2400,2570
nug20,TS-Reactive,2500,2570
nug20,TS-Reactive,2600,2570
nug20,TS-Reactive,2700,2570
nug20,TS-Reactive,2800,2570
nug20,TS-Reactive,2900,2570
nug20,TS-Reactive,3000,2570
tai20a,TS-Original,0,888276
tai20a,TS-Original,100,722774
tai20a,TS-Original,200,720052
tai20a,TS-Original,300,709504
tai20a,TS-Original,400,709504
tai20a,TS-Original,500,709504
tai20a,TS-Original,600,709504
tai20a,TS-Original,700,709504
